Time,Acc X,Acc Y,Acc Z,Gyro X,Gyro Y,Gyro Z,Phase
0,-0.24,-0.05,-0.08,3.19,-1.43,-0.21,No Movement
0.03,-0.24,-0.05,-0.08,3.17,-1.36,-0.38,No Movement
0.05,-0.24,-0.04,-0.08,3.05,-1.29,-0.54,No Movement
0.08,-0.24,-0.04,-0.08,2.93,-1.23,-0.77,No Movement
0.12,-0.24,-0.04,-0.08,2.87,-1.11,-1.14,No Movement
0.16,-0.24,-0.04,-0.08,2.79,-1.07,-1.33,No Movement
0.2,-0.24,-0.05,-0.08,2.79,-1.03,-1.57,No Movement
0.25,-0.24,-0.05,-0.08,2.84,-0.94,-1.57,No Movement
0.29,-0.24,-0.05,-0.08,2.81,-0.8,-1.57,No Movement
0.33,-0.24,-0.05,-0.08,2.8,-0.83,-1.26,No Movement
0.37,-0.24,-0.05,-0.07,2.71,-0.76,-1,No Movement
0.41,-0.24,-0.05,-0.07,2.7,-0.72,-0.65,No Movement
0.45,-0.24,-0.05,-0.08,2.73,-0.69,-0.45,No Movement
0.5,-0.24,-0.05,-0.07,2.75,-0.6,-0.35,No Movement
0.54,-0.23,-0.05,-0.07,2.47,-0.2,-0.21,No Movement
0.58,-0.24,-0.05,-0.07,1.62,0.64,0.44,No Movement
0.62,-0.24,-0.05,-0.08,1.11,0.32,1.27,No Movement
0.66,-0.24,-0.05,-0.08,-2.11,-1.08,2.1,No Movement
0.7,-0.24,-0.04,-0.08,0.64,-1.49,2.19,No Movement
0.74,-0.24,-0.03,-0.08,2.59,-1.8,1.39,No Movement
0.78,-0.24,-0.04,-0.08,3.6,-2.67,0.61,No Movement
0.82,-0.24,-0.04,-0.08,4.04,-3.68,0.02,No Movement
0.86,-0.24,-0.03,-0.07,4.81,-4.58,-0.74,No Movement
0.9,-0.24,-0.03,-0.07,5.71,-4.98,-1.87,No Movement
0.94,-0.24,-0.04,-0.06,4.79,-4,-3.48,No Movement
0.99,-0.24,-0.04,-0.06,3.47,-2.97,-5.13,No Movement
1.03,-0.24,-0.04,-0.06,2.35,-2.42,-7.01,No Movement
1.07,-0.25,-0.04,-0.06,1.5,-1.92,-9.19,No Movement
1.11,-0.25,-0.05,-0.05,2.02,-0.85,-11.73,No Movement
1.15,-0.27,-0.06,-0.07,1.62,1.42,-11.47,No Movement
1.2,-0.25,-0.07,-0.06,1.14,2.02,-11.95,No Movement
1.24,-0.25,-0.07,-0.08,2.59,1.72,-11.43,No Movement
1.28,-0.24,-0.06,-0.09,2.87,-1.42,-9.58,No Movement
1.32,-0.23,0.04,-0.07,3.97,0.11,-2.62,No Movement
1.36,-0.22,0.04,-0.05,0.26,0.46,4.77,No Movement
1.4,-0.22,0.02,-0.04,-4.49,-0.52,11.16,No Movement
1.44,-0.23,-0.02,-0.09,-9.13,-3.29,16.42,No Movement
1.48,-0.2,-0.06,-0.06,2.22,2.43,9.26,No Movement
1.52,-0.23,-0.17,-0.1,7.07,0.9,-3.48,No Movement
1.56,0.02,-0.18,0.13,18.46,8.42,-3.99,No Movement
1.6,-0.26,0.02,0,12.78,-2.81,4.63,No Movement
1.64,-0.21,-0.11,-0.01,-3.94,1.69,-1.88,No Movement
1.68,-0.23,-0.07,-0.08,-2.59,-0.99,5.18,No Movement
1.72,-0.25,-0.05,-0.13,0.69,1.56,3.55,No Movement
1.76,-0.25,-0.04,-0.09,4.94,2.12,2.9,No Movement
1.8,-0.25,-0.05,-0.05,4.42,2.7,0.46,No Movement
1.84,-0.24,-0.06,-0.05,1.81,2.63,-1.23,No Movement
1.88,-0.23,-0.05,-0.1,1.69,2.72,-1.62,No Movement
1.92,-0.23,-0.06,-0.09,3.18,2.83,-1.37,No Movement
1.97,-0.23,-0.06,-0.07,2.47,3.05,-0.86,No Movement
2.01,-0.23,-0.06,-0.08,1.26,3.58,-0.1,No Movement
2.05,-0.23,-0.07,-0.09,0.5,3.73,1.06,No Movement
2.09,-0.22,-0.06,-0.1,-2.82,4.02,3.68,No Movement
2.13,-0.25,-0.03,-0.09,-3.7,4.32,2.84,No Movement
2.17,-0.24,-0.04,-0.11,-1.88,3.98,2.06,No Movement
2.21,-0.24,-0.04,-0.13,0.94,2.16,1.13,No Movement
2.25,-0.24,-0.05,-0.11,2.39,0.75,0.97,No Movement
2.29,-0.23,-0.04,-0.11,2.69,-0.57,1.24,No Movement
2.33,-0.23,-0.04,-0.11,3.03,-0.94,0.59,No Movement
2.37,-0.23,-0.04,-0.11,2.62,-0.43,-0.49,No Movement
2.41,-0.23,-0.04,-0.11,2.2,0.1,-2.26,No Movement
2.45,-0.23,-0.04,-0.11,1.95,0.14,-3.49,No Movement
2.49,-0.23,-0.04,-0.11,2.45,0.34,-3.95,No Movement
2.53,-0.23,-0.04,-0.11,4.27,0.77,-5.22,No Movement
2.57,-0.24,-0.04,-0.11,5.68,0.79,-6.23,No Movement
2.61,-0.24,-0.04,-0.11,6.17,-0.29,-8.24,No Movement
2.65,-0.24,-0.06,-0.11,4.84,-1.42,-10.94,No Movement
2.7,-0.23,-0.08,-0.1,3.33,-2.26,-11.51,Heel Liftoff
2.74,-0.23,-0.07,-0.12,3.89,-1.46,-10.91,Heel Liftoff
2.78,-0.24,-0.08,-0.1,4.97,0.24,-10.74,Heel Liftoff
2.82,-0.25,-0.08,-0.12,5.45,0.32,-11.08,Heel Liftoff
2.86,-0.26,-0.08,-0.1,7.84,0.42,-14.56,Heel Liftoff
2.91,-0.28,-0.07,-0.1,8.84,-0.42,-21.05,Heel Liftoff
2.95,-0.3,-0.06,-0.1,9.99,0.19,-30.61,Foot Liftoff
2.99,-0.32,-0.07,-0.06,12.88,0.21,-40.58,Foot Liftoff
3.03,-0.31,-0.11,-0.11,9.47,4.25,-52.93,Foot Liftoff
3.07,-0.31,-0.16,-0.15,8.26,5.97,-50.2,Foot Liftoff
3.12,-0.14,-0.07,-0.1,2.87,1.72,-39.38,Foot Liftoff
3.16,0.03,-0.21,-0.11,12.2,1.27,-8.42,Foot Liftoff
3.2,-0.09,0.02,-0.06,6.94,-2.99,25.12,Foot Liftoff
3.24,-0.11,0,-0.04,1.89,-11.47,31.1,Foot Liftoff
3.28,-0.14,-0.04,-0.07,-2.91,-12.23,47.14,Foot Liftoff
3.32,-0.19,0,-0.08,-8,-13.05,61.46,Foot Liftoff
3.37,-0.28,-0.03,-0.06,-9.52,-10.68,63.87,Foot Liftoff
3.41,-0.39,-0.12,-0.14,-7.84,-10.75,59.56,Foot Liftoff
3.46,-0.4,-0.13,-0.12,-11.45,-11.44,64.08,Heel Landing
3.5,-0.37,-0.19,-0.11,-12.1,-11.55,52.91,Heel Landing
3.54,-0.26,-0.3,-0.17,-7.71,-8.55,33.45,Heel Landing
3.59,-0.18,-0.27,-0.14,-1.71,-0.72,5.85,Foot Landing
3.63,-0.58,-0.12,-0.23,-0.5,22.71,-28.2,Foot Landing
3.67,-0.2,0.15,0.03,-4.59,4.08,-27.81,Foot Landing
3.71,-0.32,-0.21,-0.1,0.77,9.15,-26.6,Foot Landing
3.76,-0.23,0.02,-0.09,2.83,11.59,-15.74,Foot Landing
3.8,-0.24,-0.05,-0.11,2.78,6.39,-11.92,Foot Landing
3.84,-0.24,-0.01,-0.08,1.69,4.94,-9.75,Foot Landing
3.88,-0.24,-0.02,-0.1,1.1,4.53,-6.27,Foot Landing
3.92,-0.24,-0.02,-0.1,2.91,3.03,-4.05,Foot Landing
3.96,-0.24,-0.03,-0.1,3.18,2.78,-2.53,Foot Landing
4,-0.23,-0.02,-0.12,3.87,2.17,-1.98,Foot Landing
4.04,-0.23,-0.02,-0.11,4.91,1.78,-2.01,Foot Landing
4.08,-0.24,-0.03,-0.11,5.56,1.59,-2.62,Foot Landing
4.12,-0.23,-0.01,-0.11,5.12,1.5,-4.47,Foot Landing
4.16,-0.23,-0.01,-0.12,3.27,2.24,-8.13,Foot Landing
4.2,-0.23,-0.03,-0.1,2.07,1.9,-11.54,Foot Landing
4.24,-0.24,-0.05,-0.1,4.42,1.83,-11.72,Foot Landing
4.29,-0.26,-0.05,-0.1,7.16,-0.51,-13.49,Heel Liftoff
4.33,-0.26,-0.04,-0.12,3.49,-1.27,-15.21,Heel Liftoff
4.37,-0.28,-0.07,-0.13,6.78,2.67,-18.65,Heel Liftoff
4.41,-0.35,-0.04,-0.14,12.99,7.16,-27.64,Heel Liftoff
4.46,-0.42,-0.01,-0.07,16.58,8.71,-43.28,Foot Liftoff
4.5,-0.42,0.02,-0.08,21.16,6.26,-64.35,Foot Liftoff
4.54,-0.32,-0.45,-0.22,8.5,18.03,-72.87,Foot Liftoff
4.58,-0.21,0.12,-0.07,13.13,7.19,-52.72,Foot Liftoff
4.62,-0.02,-0.27,-0.13,29.56,-3.9,-29.61,Foot Liftoff
4.67,-0.08,0.04,-0.11,15.07,7.61,33.7,Foot Liftoff
4.71,-0.1,0.12,0.02,-1.05,-12.69,40.77,Foot Liftoff
4.75,-0.1,0.01,-0.01,-3.79,-6.67,49.75,Foot Liftoff
4.79,-0.18,0,-0.07,-12.58,-8.84,70.12,Foot Liftoff
4.83,-0.28,0,-0.07,-15.35,-12.55,79.95,Heel Landing
4.88,-0.43,-0.03,-0.09,-12.66,-14.68,82.8,Heel Landing
4.92,-0.55,-0.22,-0.14,-15.8,-18.51,81.41,Heel Landing
4.97,-0.39,-0.52,-0.32,-12.22,-16.13,60.45,Heel Landing
5.01,-0.13,-0.52,-0.22,18.91,6.12,8.39,Foot Landing
5.05,0.04,0.17,0.11,-4.89,13.34,-27.8,Foot Landing
5.09,-0.26,-0.1,0.04,-24.03,5.98,-48.67,Foot Landing
5.14,-0.29,-0.14,-0.09,17.75,17.72,-29.67,Foot Landing
5.18,-0.23,-0.03,-0.21,-2.99,6,-27.08,Foot Landing
5.22,-0.25,-0.13,-0.1,2.52,8.13,-15.51,Foot Landing
5.26,-0.25,-0.04,-0.12,3.39,6.48,-8.76,Foot Landing
5.3,-0.23,-0.03,-0.11,4.41,5.24,-6.29,Foot Landing
5.34,-0.23,-0.04,-0.11,5.35,4.18,-6.62,Foot Landing
5.39,-0.23,-0.04,-0.12,8.06,2.47,-6.7,Foot Landing
5.43,-0.24,-0.05,-0.1,6.39,1.95,-6.52,Foot Landing
5.47,-0.24,-0.04,-0.13,2.22,-2.11,-9.43,Foot Landing
5.51,-0.23,-0.05,-0.11,4.17,0.32,-9.37,Heel Liftoff
5.55,-0.23,-0.06,-0.12,4.32,0.12,-9.19,Heel Liftoff
5.59,-0.23,-0.07,-0.11,5.61,1.58,-9.06,Heel Liftoff
5.63,-0.26,-0.05,-0.12,5.81,2.09,-13.22,Heel Liftoff
5.67,-0.28,-0.05,-0.11,6.68,4.3,-21.45,Heel Liftoff
5.71,-0.35,-0.04,-0.12,10.94,6.17,-30.82,Foot Liftoff
5.76,-0.44,0.02,-0.06,19.1,2.93,-48.49,Foot Liftoff
5.8,-0.45,0.03,-0.05,16.21,5.81,-71.77,Foot Liftoff
5.84,-0.43,-0.2,-0.24,10.52,20.04,-69.35,Foot Liftoff
5.88,-0.07,0.06,-0.06,14.16,-5.17,-46,Foot Liftoff
5.93,-0.01,-0.1,-0.15,30.89,12.96,6.2,Foot Liftoff
5.97,-0.08,0.12,-0.05,15.46,-2.84,38.09,Foot Liftoff
6.01,-0.09,0.05,0.02,2.75,-6.67,42.28,Foot Liftoff
6.05,-0.13,0,-0.03,-7.92,-6.2,61.43,Foot Liftoff
6.09,-0.22,0.01,-0.07,-21.83,-14.48,76.36,Foot Liftoff
6.13,-0.32,-0.02,-0.09,-18.16,-18.04,83.59,Heel Landing
6.18,-0.53,-0.12,-0.14,-12.77,-21.33,83.36,Heel Landing
6.22,-0.55,-0.38,-0.21,-12.05,-20.58,80.2,Heel Landing
6.27,-0.2,-0.56,-0.29,7.3,-4.44,44.71,Foot Landing
6.31,-0.61,-0.23,-0.25,13.81,27.36,-29.58,Foot Landing
6.35,-0.22,0.2,0.26,-19.56,3.31,-47.93,Foot Landing
6.39,-0.3,-0.34,-0.15,5.29,17.64,-39.07,Foot Landing
6.44,-0.23,-0.02,-0.23,-3.56,12.64,-28.95,Foot Landing
6.48,-0.26,-0.09,-0.12,2.65,5.44,-21.13,Foot Landing
6.52,-0.22,-0.04,-0.1,2.64,6.77,-15.38,Foot Landing
6.56,-0.23,-0.09,-0.1,5.11,5.25,-11.24,Foot Landing
6.61,-0.23,-0.06,-0.12,5.36,4.35,-8.35,Foot Landing
6.65,-0.23,-0.06,-0.12,6.29,2.04,-6.73,Foot Landing
6.69,-0.23,-0.06,-0.12,7.2,0.92,-5.46,Foot Landing
6.73,-0.23,-0.06,-0.12,6.77,0.36,-6.17,Foot Landing
6.77,-0.23,-0.07,-0.12,6.16,0.58,-7,Foot Landing
6.81,-0.22,-0.07,-0.11,5.64,1.38,-7.71,Heel Liftoff
6.85,-0.23,-0.07,-0.11,3.75,1.98,-9.6,Heel Liftoff
6.89,-0.27,-0.06,-0.12,3.86,2.2,-14.8,Heel Liftoff
6.93,-0.29,-0.06,-0.12,5.2,5.1,-23.11,Foot Liftoff
6.97,-0.36,-0.06,-0.15,12.65,6.43,-33.04,Foot Liftoff
7.01,-0.41,0.03,-0.07,22.86,-0.07,-53.9,Foot Liftoff
7.06,-0.48,-0.02,-0.1,17.64,9.83,-78.69,Foot Liftoff
7.1,-0.45,-0.05,-0.21,12.77,14.2,-63.13,Foot Liftoff
7.14,-0.08,-0.17,-0.11,38.26,-7.3,-52.44,Foot Liftoff
7.19,-0.01,-0.04,-0.13,28.06,14.71,24.65,Foot Liftoff
7.23,-0.06,0.14,-0.02,3.22,-1.98,49.43,Foot Liftoff
7.27,-0.1,0.05,0.04,-7.6,-4.65,51.99,Foot Liftoff
7.31,-0.16,0.01,-0.06,-15.93,-2.52,66.17,Foot Liftoff
7.35,-0.25,-0.02,-0.09,-22.17,-12,81.49,Foot Liftoff
7.4,-0.38,-0.02,-0.1,-15.07,-16.24,87.35,Heel Landing
7.44,-0.54,-0.2,-0.17,-13.46,-16.52,83.56,Heel Landing
7.49,-0.47,-0.47,-0.22,-12.9,-12.29,75.67,Heel Landing
7.53,-0.18,-0.5,-0.2,2.81,-0.85,26.56,Foot Landing
7.57,-1.09,-0.13,-0.26,3.74,36.39,-48.15,Foot Landing
7.62,-0.22,-0.1,0.2,-23.44,6.56,-53.64,Foot Landing
7.66,-0.28,-0.16,-0.11,10.38,15.51,-34.18,Foot Landing
7.7,-0.26,-0.06,-0.17,-1.45,9.42,-27.44,Foot Landing
7.75,-0.23,0.09,-0.05,2.49,7.07,-14,Foot Landing
7.79,-0.23,-0.03,-0.09,2.42,4.5,-9.75,Foot Landing
7.83,-0.23,-0.04,-0.1,4.18,4.58,-5.34,Foot Landing
7.87,-0.23,-0.04,-0.12,4.86,3.11,-3.68,Foot Landing
7.91,-0.23,-0.02,-0.13,6.79,1.58,-4.67,Foot Landing
7.95,-0.24,-0.05,-0.11,10.06,2.11,-4.56,Foot Landing
7.99,-0.22,-0.06,-0.11,6.57,-0.35,-8.31,Foot Landing
8.03,-0.24,-0.04,-0.11,6.56,0.16,-9.61,Heel Liftoff
8.07,-0.24,-0.05,-0.12,5.2,1.57,-10.98,Heel Liftoff
8.11,-0.26,-0.04,-0.12,3.84,1.96,-15.29,Heel Liftoff
8.16,-0.3,-0.05,-0.1,6,4.86,-22.83,Heel Liftoff
8.2,-0.33,-0.05,-0.11,9.2,7.27,-31.18,Foot Liftoff
8.24,-0.42,0.05,-0.12,18.11,4.26,-47.6,Foot Liftoff
8.28,-0.49,0.07,-0.03,22.27,-2.03,-72.17,Foot Liftoff
8.32,-0.5,-0.45,-0.29,10.84,21.61,-79.66,Foot Liftoff
8.37,-0.11,0.24,-0.01,19.96,0.29,-58.09,Foot Liftoff
8.41,-0.04,-0.24,-0.15,31.32,0.02,-19.15,Foot Liftoff
8.45,-0.06,0.04,-0.08,2.99,2.16,40.28,Foot Liftoff
8.49,-0.06,0.1,0,-0.73,-11.23,51.94,Foot Liftoff
8.53,-0.11,0.03,-0.02,-4.08,-8.81,56.62,Foot Liftoff
8.57,-0.16,-0.01,-0.07,-13.06,-13.69,74.81,Foot Liftoff
8.62,-0.29,0,-0.09,-14.85,-17.26,85.36,Heel Landing
8.66,-0.47,-0.04,-0.14,-18.23,-17.09,85.67,Heel Landing
8.71,-0.6,-0.44,-0.22,-15.84,-14.18,84.06,Heel Landing
8.75,-0.29,-0.59,-0.41,-2.7,-10.3,67.62,Foot Landing
8.8,-0.36,-0.32,-0.11,20.75,19.27,-23.65,Foot Landing
8.84,-0.22,-0.11,0.2,-26.25,6.03,-52.96,Foot Landing
8.88,-0.27,-0.17,-0.13,9.42,17,-38.72,Foot Landing
8.92,-0.24,-0.08,-0.24,-3.6,8.09,-30.25,Foot Landing
8.97,-0.25,-0.12,-0.11,7.34,6.54,-16.8,Foot Landing
9.01,-0.24,-0.01,-0.11,3.12,6.25,-11.29,Foot Landing
9.05,-0.23,-0.03,-0.13,5.75,5.15,-7.8,Foot Landing
9.09,-0.23,-0.05,-0.12,7.74,3.39,-6.49,Foot Landing
9.13,-0.22,-0.05,-0.11,8.65,1.07,-4.92,Foot Landing
9.17,-0.23,-0.04,-0.12,7.01,0.95,-5,Foot Landing
9.21,-0.22,-0.05,-0.11,4.49,-0.13,-7.41,Foot Landing
9.25,-0.23,-0.05,-0.12,4.22,0.18,-8.86,Foot Landing
9.3,-0.24,-0.05,-0.11,5.12,1.9,-10.25,Heel Liftoff
9.34,-0.25,-0.05,-0.11,1.45,2.64,-13.87,Heel Liftoff
9.38,-0.28,-0.05,-0.12,4.2,3.8,-20.54,Heel Liftoff
9.42,-0.28,-0.06,-0.13,7.36,5.89,-27.18,Foot Liftoff
9.46,-0.35,-0.01,-0.14,14.91,5.59,-37.2,Foot Liftoff
9.5,-0.43,0.04,-0.01,25.84,-5.1,-57.16,Foot Liftoff
9.55,-0.43,-0.19,-0.17,5.1,18.91,-83.61,Foot Liftoff
9.59,-0.37,0.14,-0.11,14.73,16.33,-58.08,Foot Liftoff
9.63,-0.04,-0.31,-0.14,40.08,-3.97,-41.54,Foot Liftoff
9.68,-0.09,0.06,-0.13,21.89,10.88,33,Foot Liftoff
9.72,-0.07,0.11,0.01,5.89,-9.34,46.65,Foot Liftoff
9.76,-0.1,0.02,0.03,-0.35,-3.62,54.71,Foot Liftoff
9.8,-0.16,0.02,-0.06,-14.41,-6.29,72.91,Foot Liftoff
9.84,-0.26,0,-0.07,-21.47,-15.13,87.04,Foot Liftoff
9.89,-0.44,-0.03,-0.1,-10.42,-19.33,82.42,Foot Liftoff
9.93,-0.51,-0.25,-0.19,-3.85,-17.3,83.65,Heel Landing
9.97,-0.43,-0.26,-0.1,-10.17,-9.23,72.89,Heel Landing
10.02,-0.19,-0.51,-0.19,-5.31,-2.97,26.79,Heel Landing
10.06,-0.22,-0.34,-0.15,-3.76,8.58,-26.28,Foot Landing
10.1,-0.26,0.09,0.27,-29.77,-3.07,-58.09,Foot Landing
